50,134.9444782132679,1101.222216389197,1436.368272124717
60,135.7046233834325,715.1848131026017,1012.926324745294
70,136.9236869599962,447.3260794130117,681.3276842528505
80,138.7449162018866,272.8164208802551,446.7144795511885
90,141.3247417216977,160.6738670452409,287.8642069105479
100,144.8309322049538,87.83775227554662,181.3548944769481
110,149.4409047761546,39.52869670787261,109.36233542211
120,155.3401793210554,6.700950998274381,59.9023904459988
130,162.7209659363549,-16.15422033744072,25.2584908619233
140,171.7808754739436,-32.4336759924621,0.5056783298657845
150,182.7217438841739,-44.27374689282379,-17.52139672934979
160,195.7485617453983,-53.04819214237359,-30.88640618107337
170,211.0685009967693,-59.66048251633854,-40.95830227810404
180,228.8900314782803,-64.71782252189911,-48.6619254759156
190,249.4221204213328,-68.63672812618253,-54.63349583932074
200,272.8735085349764,-71.70840107041238,-59.3183699369655
210,299.4520567990322,-74.14004981509285,-63.03347508347392
220,329.3641585026808,-76.08153393850165,-66.00785351164686
230,362.8142114691402,-77.6428749940963,-68.40943435903516
240,400.0041457742691,-78.90597320889336,-70.36300141749727
250,441.1330026105686,-79.93258035222492,-71.96244150325731
260,486.3965602661826,-80.76981111716705,-73.27921862295815
270,535.9870034821263,-81.4540093744601,-74.36831957721674
280,590.0926327242477,-82.01349784117239,-75.2724808730911
290,648.8976101609811,-82.47055886405782,-76.02523128085201
300,712.5817393719843,-82.84287851909218,-76.65310757560826
310,781.3202760299317,-83.14461131042611,-77.17728593864138
320,855.2837670031244,-83.38717343724257,-77.6147955704463
330,934.6379155100127,-83.57983968206833,-77.97943031066602
340,1019.54347013584,-83.7301967148007,-78.28243970007301
350,1110.156135678445,-83.84449036605761,-78.53305738134144
360,1206.626503944261,-83.92789386517769,-78.73890842624506
370,1309.100002752652,-83.98471664246422,-78.90632575492067
380,1417.716861536735,-84.01856806012088,-79.04059773104194
390,1532.612092049284,-84.03248669363015,-79.1461632426674
400,1653.915482792782,-84.02904308434752,-79.22676641488043
410,1781.751605897403,-84.01042191734045,-79.28558007147797
420,1916.239835265493,-83.97848813427385,-79.32530484110649
430,2057.494374891661,-83.93484042195956,-79.34824916034589
440,2205.624296349122,-83.88085471961675,-79.35639420218472
450,2360.733584511085,-83.81771978852304,-79.35144683969759
460,2522.921190646298,-83.74646643420303,-79.33488306055932
470,2692.281092094276,-83.66799162580514,-79.30798371996512
480,2868.902357789412,-83.58307849244279,-79.27186411527599
490,3052.869218955308,-83.49241297201652,-79.2274985544413
500,3244.261144350173,-83.39659772951242,-79.1757408490266
510,3443.152919488411,-83.29616383816419,-79.11734147489675
520,3649.614729310365,-83.19158061988669,-79.05296199648652
530,3863.712243817066,-83.08326396493672,-78.98318723479947
540,4085.506706222002,-82.97158339021379,-78.90853556774444
550,4315.055023212119,-82.85686804739582,-78.82946767860115
560,4552.409856942455,-82.73941185356678,-78.74639401033551
570,4797.619718419902,-82.61947788604212,-78.65968113690217
580,5050.729061961677,-82.49730215812879,-78.56965722515741
590,5311.778380440834,-82.37309687234375,-78.47661673068697
600,5580.804301055517,-82.24705323118388,-78.38082444624273
