1,267.2706813623502,4298.036141980411,4316.305124336978
11,267.3107110894094,4111.48487669619,4269.941250432931
21,267.3857707433165,3880.609484276767,4221.811935449775
31,267.5730771728807,3530.369574377992,4167.261514895054
41,267.9908892622464,3022.824970639275,4099.488374864019
51,268.7931988012085,2411.472040613141,4010.460941789725
61,270.164911883913,1809.302044012338,3892.276395621058
71,272.3174791388461,1303.881269138617,3738.943618454186
81,275.4849366101901,921.3804784172544,3548.240769159047
91,279.9203223234983,647.426938203922,3322.985423760374
